GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nacos-common 0.7.0,com.alibaba.nacos.common.util,UuidUtils,6,0,0,0,2,0,2,0,2,0
nacos-common 0.7.0,com.alibaba.nacos.common.util,Md5Utils,137,0,2,0,21,0,4,0,3,0
nacos-common 0.7.0,com.alibaba.nacos.common.util,IoUtils,35,55,5,5,8,16,6,4,2,3
nacos-common 0.7.0,com.alibaba.nacos.common.util,SystemUtils,52,173,6,14,16,41,11,12,6,7
nacos-common 0.7.0,com.alibaba.nacos.common.util,Pair,28,0,0,0,12,0,6,0,6,0
